zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
92;98;1015;GRUPO ESCOLAR BENEVENUTO DE ALMEIDA CAVALCANTE;TRAVESSA SAO JOSE SN;FELIZARDO-DISTRITO;63340000;221;
92;99;1015;GRUPO ESCOLAR BENEVENUTO DE ALMEIDA CAVALCANTE;TRAVESSA SAO JOSE SN;FELIZARDO-DISTRITO;63340000;229;
92;100;1023;ESCOLA DE ENSINO FUNDAMENTAL DR JARISMAR GONCALVES MELO;AV CAPITAO URBANO 37;CENTRO-SEDE;63340000;233;
92;101;1023;ESCOLA DE ENSINO FUNDAMENTAL DR JARISMAR GONCALVES MELO;AV CAPITAO URBANO 37;CENTRO-SEDE;63340000;237;
92;102;1023;ESCOLA DE ENSINO FUNDAMENTAL DR JARISMAR GONCALVES MELO;AV CAPITAO URBANO 37;CENTRO-SEDE;63340000;236;
92;103;1023;ESCOLA DE ENSINO FUNDAMENTAL DR JARISMAR GONCALVES MELO;AV CAPITAO URBANO 37;CENTRO-SEDE;63340000;241;
92;104;1023;ESCOLA DE ENSINO FUNDAMENTAL DR JARISMAR GONCALVES MELO;AV CAPITAO URBANO 37;CENTRO-SEDE;63340000;236;
92;105;1023;ESCOLA DE ENSINO FUNDAMENTAL DR JARISMAR GONCALVES MELO;AV CAPITAO URBANO 37;CENTRO-SEDE;63340000;230;
92;106;1031;GRUPO ESCOLAR JOSE ALVES DE OLIVEIRA;VILA SAO JOSE;CENTRO-SEDE;63340000;273;
92;107;1031;GRUPO ESCOLAR JOSE ALVES DE OLIVEIRA;VILA SAO JOSE;CENTRO-SEDE;63340000;292;
92;108;1031;GRUPO ESCOLAR JOSE ALVES DE OLIVEIRA;VILA SAO JOSE;CENTRO-SEDE;63340000;346;134
92;109;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;283;
92;110;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;271;
92;111;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;286;
92;112;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;280;
92;113;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;295;
92;114;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;293;
92;115;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;291;
92;116;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;287;
92;117;1040;ESCOLA DE 1 GRAU DOM FRANCISCO DE ASSIS PIRES;RUA PRESIDENTE CASTELO BRANCO 110;CENTRO-SEDE;63340000;290;
92;118;1066;GRUPO ESCOLAR CORONEL LUIS LEITE DA NOBREGA;SITIO SAO PEDRO SN;SAO PEDRO-SITIO;63340000;293;
92;119;1112;GRUPO ESCOLAR VICENTE FELIZARDO VIEIRA;DISTRITO DE FELIZARDO SN;FELIZARDO-DISTRITO;63340000;219;
92;120;1082;ASSOCIAÇÃO COMUNITÁRIA DO SERROTE;SITIO SERROTE SN;SERROTE-SITIO;63340000;318;
92;121;1236;POSTO DE SAÚDE DA VILA FAZENDINHA;VILA FAZENDINHA;VILA FAZENDINHA;63380000;307;122
92;123;1104;GRUPO ESCOLAR FRANCISCO DE MELO E SILVA;DISTRITO DE CANAUNA SN;CANAUNA-SITIO;63340000;283;
92;124;1104;GRUPO ESCOLAR FRANCISCO DE MELO E SILVA;DISTRITO DE CANAUNA SN;CANAUNA-SITIO;63340000;286;
92;125;1104;GRUPO ESCOLAR FRANCISCO DE MELO E SILVA;DISTRITO DE CANAUNA SN;CANAUNA-SITIO;63340000;185;
