zona;secao;cargo;numero;votos
62;8;6;5511;6
62;251;7;44789;2
62;92;6;4422;4
62;19;7;12120;1
62;80;7;44789;3
62;4;6;2220;1
62;73;7;45000;2
62;73;6;95;7
62;125;3;95;12
62;46;7;22222;2
62;34;6;1221;23
62;99;7;13789;4
62;30;6;1221;43
62;102;6;14;1
62;102;6;11;1
62;102;6;12;3
62;102;6;13;2
62;102;6;55;2
62;102;7;12;1
62;102;7;13;10
62;102;7;70;1
62;89;7;22222;5
62;122;6;96;1
62;122;6;1588;1
62;117;6;95;17
62;26;7;55333;2
62;121;6;2201;1
62;251;6;1233;1
62;102;7;12333;9
62;37;7;22222;5
62;53;7;45333;2
62;5;6;4488;4
62;141;7;15888;19
62;8;6;1100;1
62;111;7;44789;1
62;145;3;21;1
62;28;7;50500;3
62;28;7;55100;2
62;116;6;5555;10
62;125;7;22111;3
62;26;7;12114;35
62;99;5;96;16
62;99;6;5588;3
62;119;7;12114;27
62;48;3;12;8
62;96;5;95;6
62;141;6;1111;14
62;63;3;96;5
62;7;7;13777;14
62;118;7;22222;4
62;35;7;12123;1
62;19;6;1221;25
62;115;7;11111;2
62;91;6;1123;1
62;2;7;15888;11
62;73;7;44776;1
62;144;6;4000;17
62;17;6;1111;17
62;68;7;22567;1
62;147;6;1213;10
62;40;6;1333;1
62;116;6;2299;1
62;35;6;5555;43
62;15;7;22222;2
62;55;6;1551;1
62;56;6;1221;9
62;38;7;23333;2
62;104;3;13;202
62;115;5;131;193
62;15;7;12114;55
62;262;5;96;10
62;99;7;65013;1
62;143;7;96;6
62;101;6;1111;6
62;63;7;44333;1
62;131;6;1111;20
62;131;7;95;13
62;57;7;44789;1
62;37;6;4012;1
62;116;6;96;4
62;125;6;1322;12
62;101;7;11000;1
62;257;6;1221;19
62;3;7;10789;1
62;122;3;95;9
62;46;7;13777;3
62;49;7;13789;7
62;26;3;13;115
62;91;6;1111;14
62;91;7;95;28
62;4;7;15120;5
62;111;6;5511;1
62;68;6;1533;10
62;30;7;11113;1
62;30;7;22022;5
62;140;6;4003;1
62;121;3;96;20
62;109;5;700;10
62;251;3;95;9
62;131;6;1234;8
62;257;7;10123;1
62;17;6;96;9
62;139;6;5511;9
62;132;5;96;26
62;2;7;12222;1
62;2;7;70345;1
62;104;6;1322;25
62;121;7;50555;1
62;55;6;1533;1
62;10;7;33300;1
62;4;6;2211;9
62;123;6;2211;20
62;46;7;12333;6
62;129;6;4422;1
62;10;7;12555;9
62;111;6;7040;1
62;103;5;131;169
62;35;3;95;3
62;26;7;45333;1
62;96;6;4029;2
62;133;7;55888;1
62;180;6;2211;12
62;15;7;11111;12
62;94;7;15555;1
62;42;7;70345;3
62;12;7;44333;1
62;109;7;12114;61
62;14;7;12114;53
62;92;6;6565;1
62;90;6;4000;7
62;28;7;23333;3
62;36;3;12;8
62;108;6;2211;3
62;123;7;15333;12
62;141;7;55333;4
62;132;6;7040;1
62;63;6;2299;1
62;6;7;65013;1
62;109;7;11222;1
62;265;7;96;10
62;14;7;55333;3
62;142;7;13222;2
62;180;7;11111;13
62;30;7;15120;3
62;2;5;95;9
62;140;6;1010;4
62;46;7;23190;1
62;147;7;95;26
62;147;6;1111;7
62;33;6;1111;6
62;33;7;95;12
62;94;7;12144;1
62;37;7;22022;3
62;46;3;95;10
62;115;7;12555;1
62;125;7;12111;4
62;113;7;13777;15
62;142;6;1012;1
62;48;6;1533;4
62;83;7;10123;1
62;118;5;95;19
62;44;7;12333;38
62;175;7;22022;4
62;90;6;1100;1
62;43;7;12789;1
62;46;7;11111;5
62;124;6;2222;2
62;102;7;15333;3
62;132;6;95;12
62;33;5;96;21
62;97;7;13789;105
62;28;7;13789;10
62;14;7;12333;9
62;91;6;4477;1
62;42;7;44555;3
62;119;6;1322;7
62;53;6;2277;1
62;133;6;1010;2
62;32;7;22222;5
62;133;7;12144;2
62;17;6;4477;6
62;255;7;13777;11
62;129;7;13777;7
62;17;6;95;18
62;80;7;13131;2
62;257;7;11111;7
62;44;6;1221;15
62;53;6;2222;2
62;3;7;15151;1
62;56;5;96;23
62;143;6;96;6
62;255;6;5511;5
62;109;6;1588;1
62;109;6;96;1
62;14;6;96;8
62;57;3;13;190
62;117;7;44789;2
62;47;7;12111;1
62;133;6;1234;5
62;262;7;12111;1
62;109;6;1323;1
62;177;6;95;19
62;177;7;45000;1
62;106;6;1010;2
62;42;6;1233;2
62;270;6;2255;1
62;15;6;5013;1
62;112;7;13789;46
62;270;3;12;5
62;46;7;23333;1
62;262;3;95;3
62;14;7;45555;1
62;34;7;22000;1
62;110;7;12222;2
62;110;7;15120;4
62;25;6;1233;1
62;118;7;12114;70
62;83;7;12333;19
62;73;7;50500;3
62;73;7;55100;1
62;27;7;13789;1
62;83;7;12111;2
62;90;6;1333;5
62;20;6;1234;10
62;49;7;55234;4
62;80;6;1299;7
62;101;6;5517;1
62;56;5;131;181
62;99;6;2211;11
62;34;7;13777;9
62;177;5;555;7
62;38;7;15888;23
62;121;6;1234;15
62;145;6;1522;1
62;251;7;50500;1
62;251;7;55100;2
62;99;7;50777;1
62;92;6;5088;4
62;92;7;13111;1
62;94;6;2233;1
62;7;7;12777;1
62;104;6;2210;3
62;30;7;96;9
62;257;6;5050;2
62;99;7;15123;1
62;103;7;44555;3
62;17;5;555;6
62;80;7;15888;26
62;94;5;95;8
62;7;5;95;9
62;42;6;1333;1
62;40;6;4444;2
62;255;6;1234;7
62;181;6;1221;28
62;112;7;13777;7
62;122;7;13456;1
62;122;7;15888;32
62;27;6;7040;1
62;121;6;1333;1
62;91;7;12555;5
62;33;6;2222;8
62;140;6;5050;1
62;17;6;4488;1
62;69;6;1299;3
62;95;6;5567;1
62;133;7;95;21
62;89;7;65123;6
62;91;6;2222;4
62;111;3;13;188
62;63;6;1333;1
62;43;7;13;16
62;43;7;14;1
62;43;7;22;1
62;43;7;45;1
62;43;7;55;1
62;43;7;65;1
62;29;7;11222;1
62;8;6;4447;1
62;57;7;12222;1
62;53;6;1322;7
62;106;6;4000;18
62;142;3;95;12
62;35;7;10123;1
62;53;6;5511;2
62;40;7;13456;5
62;40;7;15888;19
62;143;6;1221;44
62;143;6;4412;1
62;129;7;55333;2
62;92;6;1232;1
62;47;6;96;5
62;110;3;44;18
62;14;6;1213;8
62;109;6;1213;1
62;32;7;22777;2
62;175;6;4490;7
62;175;6;5588;6
62;26;7;50444;3
62;26;6;5123;1
62;11;3;12;10
62;132;7;15333;9
62;103;6;1333;1
62;129;7;44789;4
62;107;6;5088;1
62;106;5;131;188
62;5;7;12111;1
62;117;6;1111;16
62;53;5;96;33
62;40;7;50500;1
62;29;6;1222;1
62;29;6;1234;4
62;63;7;43333;1
62;38;5;555;3
62;12;5;131;184
62;111;6;1111;4
62;55;5;555;9
62;25;7;15120;1
62;123;7;13222;1
62;101;7;44789;2
62;4;7;22678;1
62;15;3;95;12
62;4;6;4000;9
62;19;7;96;6
62;106;7;95;20
62;145;6;1234;3
62;145;6;1313;1
62;177;7;12333;13
62;108;3;12;18
62;97;7;13456;4
62;97;7;15888;39
62;2;5;555;6
62;140;7;70500;1
62;257;5;96;11
62;255;7;12114;51
62;108;7;13555;1
62;92;7;13;9
62;92;6;65;1
62;92;7;12;5
62;92;7;15;1
62;92;7;16;1
62;92;7;22;1
62;92;7;44;1
62;92;7;55;1
62;92;7;70;2
62;132;7;12222;1
62;27;6;5013;2
62;55;7;44555;2
62;55;7;70123;1
62;55;5;700;74
62;177;7;22777;1
62;103;6;4490;1
62;103;6;5588;3
62;94;6;4000;5
62;17;6;1212;1
62;53;7;15555;1
62;19;7;10123;2
62;38;6;1588;1
62;38;6;96;7
62;73;7;23192;1
62;117;7;95;30
62;31;7;22000;1
62;26;6;1221;22
62;17;7;22777;1
62;43;7;22222;2
62;103;7;44777;1
62;83;7;95;12
62;37;6;4422;3
62;40;6;1322;8
62;43;7;96;6
62;73;6;1533;5
62;107;6;1299;4
62;181;6;4490;1
62;181;6;5588;7
62;12;5;95;14
62;101;7;22022;5
62;122;6;2211;36
62;180;7;10123;4
62;257;7;23333;3
62;32;7;22022;7
62;107;6;1222;1
62;107;6;1234;4
62;21;7;50444;3
62;129;6;5517;2
62;72;7;13131;2
62;262;7;11111;2
62;90;6;2022;1
62;62;6;4477;3
62;251;7;13132;2
62;265;6;5055;1
62;14;7;95;11
62;124;7;12222;1
62;53;3;96;20
62;43;6;1010;2
62;27;7;96;6
62;121;7;13132;7
62;270;6;1520;1
62;27;6;5555;30
62;116;7;13456;1
62;55;7;96;10
62;108;6;4488;94
62;26;7;12000;1
62;121;7;15120;3
62;7;6;1533;6
62;57;6;11;1
62;57;6;12;9
62;57;6;13;2
62;57;6;22;2
62;57;6;33;1
62;57;7;11;1
62;57;7;12;5
62;57;7;13;18
62;57;7;14;1
62;57;7;15;2
62;57;7;22;1
62;57;7;36;1
62;57;7;44;1
62;57;7;45;1
62;143;6;2211;3
62;117;7;13132;2
62;133;6;1113;1
62;26;6;2277;1
62;27;6;4410;1
62;28;7;44333;2
62;35;3;44;35
62;25;7;50500;3
62;25;7;55100;1
62;29;7;50500;2
62;68;6;1531;1
62;80;3;44;28
62;129;6;1213;9
62;12;7;12333;6
62;90;7;70007;2
62;5;6;2200;4
62;116;5;700;11
62;96;7;16;1
62;96;7;44;2
62;96;7;70;8
62;72;5;96;17
62;14;6;4488;2
62;62;6;7070;1
62;43;6;1299;3
62;118;5;555;9
62;34;6;1123;1
62;104;7;50444;1
62;98;6;1522;2
62;118;7;44333;1
62;125;7;12333;10
62;94;7;44123;1
62;7;7;44123;3
62;29;7;23333;1
62;30;7;13777;21
62;25;7;13132;1
62;8;7;22022;3
62;19;7;13132;5
62;6;3;44;70
62;139;7;13234;1
62;55;7;10190;1
62;139;5;96;24
62;47;3;95;7
62;257;7;13789;26
62;140;6;4000;2
62;140;6;2929;1
62;11;6;2200;3
62;29;7;13132;5
62;4;7;22022;1
62;133;3;12;7
62;37;7;45333;1
62;133;6;5088;2
62;90;6;5555;64
62;27;5;555;7
62;8;6;1588;1
62;17;6;2277;2
62;38;6;2211;11
62;83;7;65123;3
62;21;7;13222;1
62;259;7;15222;5
62;14;5;555;2
62;110;6;4000;1
62;110;6;1221;53
62;4;7;22222;3
62;4;7;44190;1
62;118;7;45333;3
62;144;6;2211;22
62;3;7;19888;1
62;177;7;13777;11
62;177;6;4000;15
62;124;7;95;4
62;53;7;22022;1
62;40;7;13777;4
62;111;3;44;58
62;175;7;70;1
62;121;7;55333;2
62;83;3;12;14
62;28;5;95;24
62;94;6;4422;20
62;255;7;45333;8
62;110;6;5050;2
62;33;7;45000;2
62;26;6;1533;4
62;116;6;1232;1
62;21;6;2277;1
62;92;7;55444;1
62;112;6;4477;2
62;7;7;15120;2
62;180;5;95;11
62;72;7;70111;1
62;68;6;1221;47
62;8;7;44123;1
62;121;6;4029;1
62;147;6;2277;3
62;37;7;12144;3
62;108;6;12;3
62;108;6;13;2
62;108;6;15;1
62;108;6;23;1
62;108;7;12;2
62;40;6;2210;2
62;46;6;11;2
62;46;6;13;3
62;92;7;96;12
62;139;6;5533;4
62;73;6;2222;5
62;94;6;5511;1
62;125;7;13132;39
62;125;7;12456;1
62;262;7;10123;1
62;125;6;2220;1
62;36;7;12111;2
62;143;7;50500;2
62;143;7;55100;2
62;92;7;12555;4
62;115;6;1222;1
62;115;6;1234;1
62;83;6;1123;1
62;38;6;1221;40
62;101;6;1322;9
62;147;6;1313;3
62;32;6;1213;12
62;129;7;45000;2
62;99;5;131;139
62;107;6;2255;2
62;31;6;5013;1
62;129;7;11111;3
62;129;7;12344;1
62;102;7;55100;7
62;3;7;13789;2
62;131;5;96;21
62;4;6;1520;2
62;3;7;65123;2
62;53;7;15333;1
62;147;7;13132;3
62;7;6;1299;3
62;2;3;44;30
62;38;3;13;140
62;123;7;55055;1
62;111;5;96;18
62;46;7;70007;1
62;46;6;1010;1
62;117;7;12222;1
62;15;6;1522;2
62;177;5;131;190
62;36;7;13258;1
62;90;7;65013;1
62;181;7;44789;1
62;8;3;13;146
62;91;6;1234;13
62;21;6;4410;1
62;48;6;4488;3
62;40;7;55333;3
62;175;7;12333;17
62;257;7;12114;50
62;15;7;15151;1
62;5;6;1010;2
62;113;5;131;179
62;27;7;33888;1
62;114;6;1212;1
62;121;7;95;21
62;180;3;13;163
62;92;6;4488;2
62;257;3;95;5
62;6;7;12888;2
62;3;7;15123;2
62;101;6;1233;1
62;36;6;1321;1
62;96;6;11;1
62;96;6;12;4
62;96;6;16;1
62;96;6;45;2
62;96;7;11;2
62;96;7;12;2
62;96;7;13;5
62;96;7;15;1
62;10;6;5555;57
62;144;7;11111;11
62;125;6;4012;8
62;20;6;4422;3
62;55;6;1313;1
62;97;6;5588;3
62;28;6;4490;1
62;28;6;5588;1
62;270;7;45300;1
62;105;5;131;220
62;259;7;13222;3
62;11;7;80180;1
62;30;6;1333;3
62;105;6;11;3
62;105;6;12;2
62;105;6;13;3
62;105;6;21;1
62;21;6;4422;4
62;121;7;22333;1
62;29;7;12111;5
62;46;6;1234;6
62;42;5;95;12
62;5;7;12888;1
62;106;3;95;11
62;25;7;44111;1
62;10;6;1133;1
62;114;7;13222;1
62;30;7;50444;4
62;83;7;22222;5
62;124;5;96;6
62;32;6;1322;9
62;125;7;11111;16
62;34;6;4000;10
62;144;6;1313;1
62;110;5;95;10
62;12;7;11111;18
62;63;7;22567;2
62;106;6;2211;21
62;110;5;131;153
62;34;7;13456;2
62;34;7;15888;15
62;132;7;22111;1
62;37;7;13777;7
