zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
0;13005;13005;JIJOCA DE JERICOACOARA;;JIJOCA DE JERICOACOARA;;18201;
0;13013;13013;ABAIARA;;ABAIARA;;7206;
0;13021;13021;MADALENA;;MADALENA;;13794;
0;13030;13030;ACARAÚ;;ACARAÚ;;45411;
0;13048;13048;PIRES FERREIRA;;PIRES FERREIRA;;8364;
0;13056;13056;ACOPIARA;;ACOPIARA;;39393;
0;13064;13064;GRAÇA;;GRAÇA;;13404;
0;13072;13072;AIUABA;;AIUABA;;11740;
0;13080;13080;TURURU;;TURURU;;14282;
0;13099;13099;ALCÂNTARAS;;ALCÂNTARAS;;9674;
0;13102;13102;QUITERIANÓPOLIS;;QUITERIANÓPOLIS;;17373;
0;13110;13110;ALTANEIRA;;ALTANEIRA;;6220;
0;13129;13129;BARREIRA;;BARREIRA;;17606;
0;13137;13137;ALTO SANTO;;ALTO SANTO;;12770;
0;13145;13145;ACARAPE;;ACARAPE;;11555;
0;13153;13153;ANTONINA DO NORTE;;ANTONINA DO NORTE;;7305;
0;13161;13161;CHOROZINHO;;CHOROZINHO;;17164;
0;13170;13170;APUIARÉS;;APUIARÉS;;11996;
0;13188;13188;HORIZONTE;;HORIZONTE;;57644;
0;13196;13196;AQUIRAZ;;AQUIRAZ;;61454;
0;13200;13200;ERERÉ;;ERERÉ;;5692;
0;13218;13218;ARACATI;;ARACATI;;54761;
0;13226;13226;EUSÉBIO;;EUSÉBIO;;49852;
0;13234;13234;ARACOIABA;;ARACOIABA;;24012;
0;13242;13242;GUAIÚBA;;GUAIÚBA;;19312;
0;13250;13250;ARARIPE;;ARARIPE;;18153;
0;13269;13269;POTIRETAMA;;POTIRETAMA;;5748;
0;13277;13277;ARATUBA;;ARATUBA;;11551;
0;13285;13285;PINDORETAMA;;PINDORETAMA;;18627;
0;13293;13293;ARNEIROZ;;ARNEIROZ;;7070;
0;13307;13307;OCARA;;OCARA;;23161;
0;13315;13315;ASSARÉ;;ASSARÉ;;19886;
0;13323;13323;TEJUÇUOCA;;TEJUÇUOCA;;14837;
0;13331;13331;AURORA;;AURORA;;19903;
0;13340;13340;IPAPORANGA;;IPAPORANGA;;9902;
0;13358;13358;BAIXIO;;BAIXIO;;5586;
0;13366;13366;TARRAFAS;;TARRAFAS;;7737;
0;13374;13374;BARBALHA;;BARBALHA;;47982;
0;13382;13382;BANABUIÚ;;BANABUIÚ;;14687;
0;13390;13390;BARRO;;BARRO;;16665;
0;13404;13404;BARROQUINHA;;BARROQUINHA;;13896;
0;13412;13412;BATURITÉ;;BATURITÉ;;26622;
0;13420;13420;ARARENDÁ;;ARARENDÁ;;9640;
0;13439;13439;BEBERIBE;;BEBERIBE;;44993;
0;13447;13447;CATUNDA;;CATUNDA;;8523;
0;13455;13455;BELA CRUZ;;BELA CRUZ;;20209;
0;13463;13463;CHORÓ;;CHORÓ;;11282;
0;13471;13471;BOA VIAGEM;;BOA VIAGEM;;41026;
0;13480;13480;ITAITINGA;;ITAITINGA;;29904;
0;13498;13498;BREJO SANTO;;BREJO SANTO;;35286;
0;13501;13501;FORTIM;;FORTIM;;14621;
0;13510;13510;CAMOCIM;;CAMOCIM;;47857;
0;13536;13536;CAMPOS SALES;;CAMPOS SALES;;21442;
0;13552;13552;CANINDÉ;;CANINDÉ;;57587;
0;13579;13579;CAPISTRANO;;CAPISTRANO;;15767;
0;13595;13595;CARIDADE;;CARIDADE;;16648;
0;13617;13617;CARIRÉ;;CARIRÉ;;14779;
0;13633;13633;CARIRIAÇU;;CARIRIAÇU;;24006;
0;13650;13650;CARIÚS;;CARIÚS;;14920;
0;13676;13676;CARNAUBAL;;CARNAUBAL;;13850;
0;13692;13692;CASCAVEL;;CASCAVEL;;56905;
0;13714;13714;CATARINA;;CATARINA;;9485;
0;13730;13730;CAUCAIA;;CAUCAIA;;235233;
0;13757;13757;CEDRO;;CEDRO;;20122;
0;13773;13773;CHAVAL;;CHAVAL;;10733;
0;13811;13811;COREAÚ;;COREAÚ;;19339;
0;13838;13838;CRATEÚS;;CRATEÚS;;57346;
0;13854;13854;CRATO;;CRATO;;92567;
0;13870;13870;FARIAS BRITO;;FARIAS BRITO;;16096;
0;13897;13897;FORTALEZA;;FORTALEZA;;1868243;
0;13919;13919;FRECHEIRINHA;;FRECHEIRINHA;;12614;
0;13935;13935;GENERAL SAMPAIO;;GENERAL SAMPAIO;;7510;
0;13951;13951;GRANJA;;GRANJA;;42340;
0;13978;13978;GRANJEIRO;;GRANJEIRO;;5795;
0;13994;13994;GROAÍRAS;;GROAÍRAS;;8945;
0;14010;14010;GUARACIABA DO NORTE;;GUARACIABA DO NORTE;;32736;
0;14036;14036;GUARAMIRANGA;;GUARAMIRANGA;;5881;
0;14052;14052;HIDROLÂNDIA;;HIDROLÂNDIA;;14931;
