zona;secao;cargo;numero;votos
0;13005;7;22909;1
0;13005;7;43211;1
0;13005;7;12755;1
0;13005;6;2299;5
0;13005;7;12100;5
0;13005;7;65000;2
0;13005;7;22022;138
0;13005;6;4432;1
0;13005;7;14200;4
0;13005;7;65;3
0;13005;6;5533;8
0;13005;7;22678;1
0;13005;7;12330;1
0;13005;6;4433;29
0;13005;7;55888;238
0;13005;7;80;2
0;13005;7;44027;3
0;13005;6;1277;16
0;13005;7;55234;8
0;13005;6;2123;1
0;13005;7;50013;34
0;13005;6;1311;6
0;13005;7;90909;2
0;13005;6;1292;22
0;13005;7;12333;13
0;13005;6;3378;1
0;13005;7;55678;3
0;13005;6;1313;114
0;13005;7;44044;1
0;13005;7;65234;8
0;13005;6;1100;15
0;13005;6;5111;4
0;13005;6;4011;2
0;13005;7;70333;11
0;13005;7;12123;16
0;13005;7;10190;2
0;13005;7;45333;1
0;13005;7;36010;1
0;13005;6;5555;4836
0;13005;1;12;870
0;13005;7;36666;1
0;13005;6;1331;6
0;13005;7;70777;4
0;13005;6;4455;39
0;13005;1;13;9297
0;13005;7;11100;1
0;13005;7;70123;2
0;13005;7;23333;2
0;13005;6;7000;2
0;13005;7;12600;4
0;13005;6;21;3
0;13005;6;1319;1
0;13005;5;700;2829
0;13005;6;1299;2
0;13005;6;4456;18
0;13005;1;14;5
0;13005;7;45777;1
0;13005;6;1333;745
0;13005;6;22;27
0;13005;7;10000;36
0;13005;1;15;127
0;13005;7;45123;2
0;13005;6;23;13
0;13005;1;16;1
0;13005;1;30;10
0;13005;6;5133;1
0;13005;3;95;513
0;13005;7;23123;7
0;13005;7;12144;3
0;13005;3;96;746
0;13005;6;1123;12
0;13005;7;11333;1
0;13005;7;44543;7
0;13005;6;5590;44
0;13005;6;7007;16
0;13005;6;4510;1
0;13005;6;4490;25
0;13005;6;4477;7
0;13005;7;13220;1
0;13005;6;43;2
0;13005;7;11123;1
0;13005;6;2200;47
0;13005;6;44;11
0;13005;7;44333;7
0;13005;6;45;5
0;13005;6;2201;85
0;13005;6;1818;1
0;13005;7;22333;1
0;13005;7;90100;1
0;13005;7;44122;11
0;13005;7;22120;3
0;13005;7;44777;6
0;13005;6;7040;24
0;13005;6;8080;2
0;13005;7;44123;4
0;13005;7;15111;1
0;13005;7;13013;2
0;13005;6;5599;3
0;13005;6;1588;11
0;13005;7;22777;229
0;13005;7;22122;10
0;13005;6;2220;2
0;13005;6;4499;1
0;13005;6;2207;1
0;13005;7;22123;2
0;13005;7;55333;3
0;13005;6;65;2
0;13005;7;13456;4
0;13005;7;44567;4
0;13005;7;15555;3
0;13005;6;2222;1153
0;13005;7;50113;1
0;13005;7;15115;3
0;13005;7;55777;1
0;13005;7;50555;1
0;13005;7;55123;1
0;13005;7;45645;1
0;13005;7;12222;3
0;13005;6;3300;4
0;13005;7;30000;8
0;13005;7;15789;1
0;13005;7;33200;4
0;13005;7;12011;1
0;13005;6;4555;5
0;13005;6;5001;11
0;13005;7;15577;1
0;13005;6;4343;2
0;13005;1;95;177
0;13005;7;10;11
0;13005;5;555;2320
0;13005;1;96;333
0;13005;6;5005;3
0;13005;6;1221;22
0;13005;7;11;61
0;13005;7;12456;224
0;13005;6;4099;1
0;13005;6;1222;3
0;13005;7;12;169
0;13005;6;1450;1
0;13005;6;5007;9
0;13005;7;13;396
0;13005;6;5020;1
0;13005;7;14;7
0;13005;5;131;7630
0;13005;6;1010;94
0;13005;7;33222;1
0;13005;6;1011;1
0;13005;7;22200;7
0;13005;7;15;9
0;13005;7;45456;1
0;13005;7;16;1
0;13005;6;1012;9
0;13005;7;11222;2
0;13005;7;10777;2
0;13005;7;10122;2
0;13005;7;18;2
0;13005;6;1456;1
0;13005;3;21;8
0;13005;6;5500;4
0;13005;7;10123;98
0;13005;6;4400;3
0;13005;7;10124;227
0;13005;7;33;9
0;13005;6;1919;2
0;13005;7;90180;3
0;13005;6;1245;4
0;13005;7;12300;7
0;13005;7;50;3
0;13005;6;1033;1
0;13005;6;5044;15
0;13005;7;22222;835
0;13005;7;13555;3
0;13005;7;43640;3
0;13005;7;44700;4
0;13005;7;22010;13
0;13005;6;2288;351
0;13005;6;4420;2
0;13005;7;13130;3
0;13005;7;45300;2
0;13005;7;44456;7
0;13005;6;4422;6
0;13005;7;13131;17
0;13005;7;55;145
0;13005;3;44;4110
0;13005;7;70070;3
0;13005;7;13132;11
0;13005;7;40888;1
0;13005;6;1300;3
0;13005;7;44244;4
0;13005;7;70;44
0;13005;7;13133;49
0;13005;6;1515;2
0;13005;7;13789;15
0;13005;7;55011;20
0;13005;7;50444;9
0;13005;6;6565;17
0;13005;6;1055;2
0;13005;6;1269;7
0;13005;7;15888;33
0;13005;6;1303;1
0;13005;7;70762;1
0;13005;6;5080;1
0;13005;7;70321;2
0;13005;7;33300;3
0;13005;6;4000;4
0;13005;7;12111;9
0;13005;7;13138;1
0;13005;7;12112;3
0;13005;7;14190;1
0;13005;6;1285;1
0;13005;7;22722;1
0;13005;6;1533;10
0;13005;7;70090;19
0;13005;7;65700;24
0;13005;6;4003;1
0;13005;6;4444;343
0;13005;7;65013;24
0;13005;7;12555;2
0;13005;7;50250;1
0;13005;6;4445;3
0;13005;3;80;5
0;13005;6;10;6
0;13005;6;1321;18
0;13005;7;45111;5
0;13005;6;1322;47
0;13005;6;11;7
0;13005;7;12344;11
0;13005;6;1323;1
0;13005;6;12;96
0;13005;6;4447;9
0;13005;6;1090;1
0;13005;6;5088;8
0;13005;7;12345;4314
0;13005;7;50500;59
0;13005;6;13;97
0;13005;6;1111;119
0;13005;7;95;804
0;13005;6;14;4
0;13005;6;5123;1
0;13005;6;1112;1
0;13005;6;1326;3
0;13005;6;15;7
0;13005;7;96;493
0;13005;1;21;3
0;13005;1;22;4007
0;13005;7;45999;5
0;13005;6;18;1
0;13005;6;5567;10
0;13005;6;4466;4
0;13005;7;10010;1
0;13005;6;3000;6
0;13005;6;7011;18
0;13005;7;11111;2839
0;13005;6;9090;2
0;13005;6;4040;3
0;13005;6;33;9
0;13005;7;44321;12
0;13005;7;11113;1
0;13005;7;11555;1
0;13005;6;35;1
0;13005;7;12400;1
0;13005;6;1099;1
0;13005;6;4029;1
0;13005;6;1133;4
0;13005;7;22322;1
0;13005;7;14500;1
0;13005;6;50;6
0;13005;7;10456;2
0;13005;7;44111;2
0;13005;7;70400;2
0;13005;7;11999;1
0;13005;1;44;46
0;13005;7;10030;1
0;13005;7;22111;4
0;13005;6;5588;9
0;13005;7;44555;1
0;13005;7;33789;10
0;13005;6;4488;78
0;13005;7;15757;1
0;13005;7;44556;2
0;13005;6;2210;16
0;13005;7;44557;2
0;13005;7;22555;10
0;13005;6;2211;6
0;13005;6;55;35
0;13005;7;44999;1
0;13005;7;22556;20
0;13005;6;1400;1
0;13005;7;55111;1
0;13005;6;70;3
0;13005;7;44345;2
0;13005;7;13234;20
0;13005;7;13007;5
0;13005;6;1155;1
0;13005;7;22999;1
0;13005;7;15333;1
0;13005;6;2000;1
0;13005;7;22345;1
0;13005;7;15120;7
0;13005;7;50333;2
0;13005;7;55555;48
