zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
109;105;1015;POLO DE ATENDIMENTO - JOSE DE SOUSA PINTO;RUA MARIA CLARICE MOREIRA;BOA ESPERANÇA;62685000;286;
109;106;1015;POLO DE ATENDIMENTO - JOSE DE SOUSA PINTO;RUA MARIA CLARICE MOREIRA;BOA ESPERANÇA;62685000;285;
109;107;1031;EMEF BETEL;RUA DOMINGOS BARROSO SN;CENTRO;62685000;337;
109;108;1031;EMEF BETEL;RUA DOMINGOS BARROSO SN;CENTRO;62685000;329;
109;112;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;278;
109;113;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;279;
109;114;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;279;
109;115;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;277;
109;116;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;276;
109;117;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;277;
109;118;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;279;
109;119;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;280;
109;120;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;278;
109;121;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;277;
109;122;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;250;
109;123;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;252;
109;124;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;248;
109;125;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;251;
109;126;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;248;
109;127;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;250;
109;128;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;249;
109;129;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;248;
109;130;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;250;
109;131;1074;EMEF JOSÉ BARROSO DE OLIVEIRA;RUA JOÃO NARCISO DE OLIVEIRA, S/N;BOA VISTA-DISTRITO;62685000;341;
109;132;1074;EMEF JOSÉ BARROSO DE OLIVEIRA;RUA JOÃO NARCISO DE OLIVEIRA, S/N;BOA VISTA-DISTRITO;62685000;346;
109;133;1074;EMEF JOSÉ BARROSO DE OLIVEIRA;RUA JOÃO NARCISO DE OLIVEIRA, S/N;BOA VISTA-DISTRITO;62685000;344;
109;134;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;341;
109;135;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;340;
109;136;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;344;
109;137;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;341;
109;138;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;337;
109;139;1090;EMEF FRANCISCO HENRIQUE DE AZEVEDO;LAGOINHA;LAGOINHA;62686000;337;
109;140;1090;EMEF FRANCISCO HENRIQUE DE AZEVEDO;LAGOINHA;LAGOINHA;62686000;330;
109;141;1090;EMEF FRANCISCO HENRIQUE DE AZEVEDO;LAGOINHA;LAGOINHA;62686000;335;
109;142;1090;EMEF FRANCISCO HENRIQUE DE AZEVEDO;LAGOINHA;LAGOINHA;62686000;336;
109;143;1090;EMEF FRANCISCO HENRIQUE DE AZEVEDO;LAGOINHA;LAGOINHA;62686000;333;
109;144;1228;EMEIF ALDENOR PEREIRA DOS SANTOS;PROJETO IRRIGADO DO CURU - SETOR D2;SETOR D2;62685000;320;
109;145;1228;EMEIF ALDENOR PEREIRA DOS SANTOS;PROJETO IRRIGADO DO CURU - SETOR D2;SETOR D2;62685000;323;
109;146;1236;EMEIF SAUL MATIAS DA SILVA;SETOR D1;SETOR D1;62685000;332;
109;147;1236;EMEIF SAUL MATIAS DA SILVA;SETOR D1;SETOR D1;62685000;330;
109;148;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;325;
109;149;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;336;
109;150;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;330;
109;151;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;248;
109;152;1252;EMEIF JOSÉ TEIXEIRA DA SILVA;PEDRINHAS;PEDRINHAS;62685000;381;208
109;153;1260;EMEIF MARGARIDA BARBOSA DE CASTRO;CALUMBI DOS BENTOS;CALUMBI DOS BENTOS;62685000;295;
109;154;1260;EMEIF MARGARIDA BARBOSA DE CASTRO;CALUMBI DOS BENTOS;CALUMBI DOS BENTOS;62685000;296;
109;155;1279;EMEIF SÃO MIGUEL;SAO MIGUEL;SÃO MIGUEL;62850000;232;
109;156;1287;EMEIF COMPLEXO ESCOLAR SETOR C1;PROJETO IRRIGADO DO CURU - SETOR C1;SETOR C1;62685000;343;
109;157;1287;EMEIF COMPLEXO ESCOLAR SETOR C1;PROJETO IRRIGADO DO CURU - SETOR C1;SETOR C1;62685000;328;
109;158;1287;EMEIF COMPLEXO ESCOLAR SETOR C1;PROJETO IRRIGADO DO CURU - SETOR C1;SETOR C1;62685000;136;
109;159;1295;EMEIF LUIZA BARROSO BRAGA;ZABELE;ZABELE;62685000;312;
109;160;1309;EMEIF FRANCISCO CIPRIANO MOREIRA;CAMBURAO;CAMBURÃO;62685000;347;
109;161;1309;EMEIF FRANCISCO CIPRIANO MOREIRA;CAMBURAO;CAMBURÃO;62685000;348;
109;162;1309;EMEIF FRANCISCO CIPRIANO MOREIRA;CAMBURAO;CAMBURÃO;62685000;397;212
109;163;1317;SALÃO COMUNITÁRIO - SETOR B;SETOR B;SETOR B;62685000;335;
109;164;1317;SALÃO COMUNITÁRIO - SETOR B;SETOR B;SETOR B;62685000;323;
