zona;secao;cargo;numero;nome;votos;partido;coligacao
109;105;Presidente;12;CIRO GOMES;11;PDT;PDT
109;105;Presidente;13;LULA;128;PT;(PT/PC do B/PV), SOLIDARIEDADE, (PSOL/REDE), PSB, AGIR, AVANTE, PROS
109;105;Presidente;15;SIMONE TEBET;5;MDB;MDB, (PSDB/CIDADANIA), PODE
109;105;Presidente;22;JAIR BOLSONARO;86;PL;PP, REPUBLICANOS, PL
109;105;Presidente;44;SORAYA THRONICKE;2;UNIÃO;UNIÃO
109;105;Presidente;95;BRANCOS;3;;
109;105;Presidente;96;NULOS;9;;
109;105;Governador;12;ROBERTO CLÁUDIO;21;PDT;PMN, PATRIOTA, AGIR, PMB, PDT, PSD, PSB, PSC, DC
109;105;Governador;13;ELMANO DE FREITAS;98;PT;(PT/PC do B/PV), PP, MDB, PRTB, (PSOL/REDE), SOLIDARIEDADE
109;105;Governador;21;CHICO MALTA;1;PCB;PCB
109;105;Governador;44;CAPITÃO WAGNER;105;UNIÃO;PODE, AVANTE, PL, REPUBLICANOS, PTB, PROS, UNIÃO
109;105;Governador;95;BRANCOS;5;;
109;105;Governador;96;NULOS;14;;
109;105;Senador;131;CAMILO;124;PT;(PT/PC do B/PV), MDB, PRTB, (PSOL/REDE), SOLIDARIEDADE, PP
109;105;Senador;555;ERIKA AMORIM;5;PSD;PSB, AGIR, DC, PMB, PDT, PSD, PMN, PATRIOTA, PSC
109;105;Senador;700;KAMILA CARDOSO;88;AVANTE;AVANTE, UNIÃO, PTB, REPUBLICANOS, PROS, PL, PODE
109;105;Senador;95;BRANCOS;7;;
109;105;Senador;96;NULOS;20;;
109;105;Deputado Federal;1000;BISPA VANESSA LIMA;1;REPUBLICANOS;REPUBLICANOS
109;105;Deputado Federal;1010;RONALDO MARTINS;3;REPUBLICANOS;REPUBLICANOS
109;105;Deputado Federal;1030;VERISSIMO FREITAS;1;REPUBLICANOS;REPUBLICANOS
109;105;Deputado Federal;1212;LEÔNIDAS CRISTINO;1;PDT;PDT
109;105;Deputado Federal;1213;IDILVAN;10;PDT;PDT
109;105;Deputado Federal;1214;EDUARDO BISMARCK;12;PDT;PDT
109;105;Deputado Federal;1221;MAURO FILHO;2;PDT;PDT
109;105;Deputado Federal;1285;IANNA BRANDÃO;1;PDT;PDT
109;105;Deputado Federal;1292;ENFERMEIRA ANA PAULA;1;PDT;PDT
109;105;Deputado Federal;1313;LUIZIANNE LINS;5;PT;(PT/PC do B/PV)
109;105;Deputado Federal;1515;MOACENY FÉLIX;1;MDB;MDB
109;105;Deputado Federal;1533;EUNÍCIO;4;MDB;MDB
109;105;Deputado Federal;2200;DRA. MAYRA PINHEIRO;1;PL;PL
109;105;Deputado Federal;2201;DELEGADO CAVALCANTE;2;PL;PL
109;105;Deputado Federal;2222;ANDRÉ FERNANDES;11;PL;PL
109;105;Deputado Federal;2233;GORETE PEREIRA;1;PL;PL
109;105;Deputado Federal;2255;JÚNIOR MANO;3;PL;PL
109;105;Deputado Federal;2277;DR JAZIEL;19;PL;PL
109;105;Deputado Federal;2288;PRISCILA COSTA;4;PL;PL
109;105;Deputado Federal;2299;MATHEUS NORONHA;11;PL;PL
109;105;Deputado Federal;2323;MORONI;1;CIDADANIA;(PSDB/CIDADANIA)
109;105;Deputado Federal;4000;DENIS BEZERRA;1;PSB;PSB
109;105;Deputado Federal;4410;CARLOS MATOS;1;UNIÃO;UNIÃO
109;105;Deputado Federal;4411;VANDERLAN ALVES;1;UNIÃO;UNIÃO
109;105;Deputado Federal;4422;JULIERME SENA;1;UNIÃO;UNIÃO
109;105;Deputado Federal;4433;DR. AGRIPINO MAGALHÃES;3;UNIÃO;UNIÃO
109;105;Deputado Federal;4445;DAMIÃO TENORIO;1;UNIÃO;UNIÃO
109;105;Deputado Federal;4447;DANILO FORTE;10;UNIÃO;UNIÃO
109;105;Deputado Federal;4456;DAYANY DO CAPITÃO;1;UNIÃO;UNIÃO
109;105;Deputado Federal;4477;FERNANDA PESSOA;3;UNIÃO;UNIÃO
109;105;Deputado Federal;4488;MOSES RODRIGUES;14;UNIÃO;UNIÃO
109;105;Deputado Federal;4490;SOLDADO NOELIO;1;UNIÃO;UNIÃO
109;105;Deputado Federal;5511;CÉLIO STUDART;8;PSD;PSD
109;105;Deputado Federal;5533;LUIZ GASTÃO;9;PSD;PSD
109;105;Deputado Federal;5555;DOMINGOS NETO;65;PSD;PSD
109;105;Deputado Federal;5588;ELIANE BRAZ;1;PSD;PSD
109;105;Deputado Federal;6565;INÁCIO ARRUDA;4;PC do B;(PT/PC do B/PV)
109;105;Deputado Federal;7007;DR CADU;1;AVANTE;AVANTE
109;105;Deputado Federal;7012;LURDENIS VIEIRA;1;AVANTE;AVANTE
109;105;Deputado Federal;11;LEGENDA PP;1;PP;PP
109;105;Deputado Federal;13;LEGENDA PT;1;PT;PT
109;105;Deputado Federal;15;LEGENDA MDB;1;MDB;MDB
109;105;Deputado Federal;22;LEGENDA PL;2;PL;PL
