cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Prefeito;13;60002127042;FRANCISCO PEDRO GONÇALVES DE SOUZA XIMENES;DR PEDRO XIMENES;PT;NÃO ELEITO;MASCULINO;MÉDICO;60002127042.jpg
Prefeito;25;60001921220;GIORDANNA SILVA BRAGA MANO;GIORDANNA MANO;PRD;ELEITO;FEMININO;PREFEITO;60001921220.jpg
Vereador;13000;60002187568;MIRLA ALVES LACERDA MENDES;MIRLA LACERDA;PT;SUPLENTE;FEMININO;EMPRESÁRIO;60002187568.jpg
Vereador;13111;60002187564;MILENA ABREU DE ALMEIDA XIMENES;MILENA XIMENES;PT;SUPLENTE;FEMININO;NUTRICIONISTA E ASSEMELHADOS;60002187564.jpg
Vereador;13113;60002187569;RAIMUNDO FREIRE DE ARAUJO;PROFESSOR TIM;PT;NÃO ELEITO;MASCULINO;PROFESSOR DE ENSINO FUNDAMENTAL;60002187569.jpg
Vereador;13123;60002396524;CAMILLY ALVES DE LIMA;CAMILLY DO ZÉ ROBERTO;PT;ELEITO POR QP;FEMININO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;60002396524.jpg
Vereador;13222;60002187565;ANNA CLAUDIA RODRIGUES DA SILVA DE SOUSA;ANNA CLAUDIA;PT;NÃO ELEITO;FEMININO;CABELEIREIRO E BARBEIRO;60002187565.jpg
Vereador;13333;60002187567;MARIA HELENA PEREIRA DA SILVA;SELENA SILVA;PT;SUPLENTE;FEMININO;ADMINISTRADOR;60002187567.jpg
Vereador;13444;60002397887;ARLINDO LOPES DE SOUSA;ARLINDO LOPES;PT;SUPLENTE;MASCULINO;AGRICULTOR;60002397887.jpg
Vereador;13456;60002187566;FRANCISCO ANTONIO MARQUES DE SOUSA;COCA;PT;SUPLENTE;MASCULINO;PROFESSOR DE ENSINO MÉDIO;60002187566.jpg
Vereador;13777;60002391404;RICARDO DE SOUSA BARRETO;RICARDO BARRETO;PT;SUPLENTE;MASCULINO;AGRICULTOR;60002391404.jpg
Vereador;22000;60002011036;MOESIO RODRIGUES DE ANDRADE;MOESIO ANDRADE;PL;SUPLENTE;MASCULINO;PRODUTOR DE ESPETÁCULOS PÚBLICOS;60002011036.jpg
Vereador;22111;60002011041;MARIA ESTEVAM DE SOUSA SILVA;ESTER DA CASA DE RECUPERAÇÃO;PL;SUPLENTE;FEMININO;DONA DE CASA;60002011041.jpg
Vereador;22123;60002011043;WELLINGTON MAGALHÃES VERAS;WELLINTON MAGALHÃES;PL;SUPLENTE;MASCULINO;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;60002011043.jpg
Vereador;22222;60002011037;FRANCISLANE RIBEIRO DE CARVALHO DA SILVA;ALANA RIBEIRO;PL;ELEITO POR MÉDIA;FEMININO;OUTROS;60002011037.jpg
Vereador;22333;60002011039;JOÃO PAULO DE SOUSA PAIVA;JOÃO PAULO BRAZ;PL;SUPLENTE;MASCULINO;COMERCIANTE;60002011039.jpg
Vereador;22444;60002011042;MATIAS DE SOUSA SIMEÃO;MATIAS SIMEÃO;PL;SUPLENTE;MASCULINO;SERVIDOR PÚBLICO MUNICIPAL;60002011042.jpg
Vereador;22555;60002011040;CARLOS EDUARDO ALVES DE SOUZA;DUDU TULIPÃO;PL;SUPLENTE;MASCULINO;OUTROS;60002011040.jpg
Vereador;22666;60002011034;FRANCISCO DE ASSIS DA SILVA CAMELO MATOS;DIASSIS SILVA;PL;SUPLENTE;MASCULINO;OUTROS;60002011034.jpg
Vereador;22777;60002011035;ANTONIO IGOR PEREIRA DA COSTA;SEU IGOR;PL;SUPLENTE;MASCULINO;EMPRESÁRIO;60002011035.jpg
Vereador;22888;60002011038;LIDIANE RODRIGUES MARINHO;DIANA MARINHO;PL;SUPLENTE;FEMININO;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;60002011038.jpg
Vereador;25000;60001981685;IZABEL MOURA DE CARVALHO;IZABEL MOURA;PRD;SUPLENTE;FEMININO;ENFERMEIRO;60001981685.jpg
Vereador;25123;60001981684;SEBASTIÃO RODRIGUES MANO;SEBASTIÃO MANO;PRD;ELEITO POR QP;MASCULINO;VEREADOR;60001981684.jpg
Vereador;25222;60001981677;VANDA CALACA MONTEIRO DA SILVA;VANDA CALAÇA;PRD;SUPLENTE;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60001981677.jpg
Vereador;25333;60001981681;ANTONIO CARLOS ARAUJO MARTINS;ANTONIO CARLOS;PRD;ELEITO POR QP;MASCULINO;SERVIDOR PÚBLICO MUNICIPAL;60001981681.jpg
Vereador;25444;60001981682;RAIMUNDO FRANCISCO PEREIRA DE OLIVEIRA;RAIMUNDINHO CORUJA;PRD;ELEITO POR QP;MASCULINO;VEREADOR;60001981682.jpg
Vereador;25555;60001981680;FRANCISCO JEFFERSON DO CARMO DE CASTRO;JEFFERSON CASTRO;PRD;ELEITO POR QP;MASCULINO;OUTROS;60001981680.jpg
Vereador;25666;60001981678;MARIA DALVA DE ABREU FARIAS;DALVA ABREU;PRD;ELEITO POR QP;FEMININO;PROFESSOR DE ENSINO MÉDIO;60001981678.jpg
Vereador;25777;60001981683;MARIA DO SOCORRO VERAS DE SOUSA MAGALHAES;CIBELLE TAVARES;PRD;ELEITO POR QP;FEMININO;PROFESSOR DE ENSINO FUNDAMENTAL;60001981683.jpg
Vereador;25999;60001981679;ANTONIA FREITAS DE CARVALHO;TOINHA DO CAPITÃO;PRD;ELEITO POR MÉDIA;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60001981679.jpg
Vereador;33000;60002049968;MARIA DO SOCORRO HOLANDA ROSA PEDROSA;SOCORRINHA HOLANDA;MOBILIZA;ELEITO POR MÉDIA;FEMININO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);60002049968.jpg
Vereador;33111;60002049960;LUIS CORREIA NUNES FILHO;PROF LUIZINHO CORREIA;MOBILIZA;SUPLENTE;MASCULINO;PROFESSOR DE ENSINO MÉDIO;60002049960.jpeg
Vereador;33123;60002049964;LUÍS TEIXEIRA FREITAS;TEIXEIRA;MOBILIZA;ELEITO POR QP;MASCULINO;PROFESSOR DE ENSINO FUNDAMENTAL;60002049964.jpg
Vereador;33222;60002049963;MARIA LUCILENE LOPES BARROSO TAVARES;LUCILENE TAVARES;MOBILIZA;SUPLENTE;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60002049963.jpg
Vereador;33333;60002049962;IDELFONSO DE SOUSA FILHO;FONSIM;MOBILIZA;ELEITO POR QP;MASCULINO;EMPRESÁRIO;60002049962.jpg
Vereador;33456;60002049966;EDVAR ALVES MARQUES;EDVAR BELEU;MOBILIZA;SUPLENTE;MASCULINO;OUTROS;60002049966.jpg
Vereador;33555;60002049969;MARIO VIEIRA RODRIGUES;MAURO CAPOEIRA;MOBILIZA;SUPLENTE;MASCULINO;OUTROS;60002049969.jpg
