cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Deputado Estadual;10000;60002545110;SILVIO DE ALENCAR MARTINS;SILVIO NASCIMENTO;REPUBLICANOS;;MASCULINO;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;60002545110.jpg
Deputado Estadual;10001;60002545119;LEILA MARIA DA SILVA BRITO;PROFESSORA LEILA;REPUBLICANOS;;FEMININO;PEDAGOGO;60002545119.jpg
Deputado Estadual;10005;60002553894;LUZIA DE GUADALUPE LINDA MASCARENHAS;LINDA MASCARENHAS;REPUBLICANOS;;FEMININO;EMPRESÁRIO;60002553894.jpg
Deputado Estadual;10007;60002545124;SAMUEL DANTAS FALCAO;SAMUEL FALCÃO;REPUBLICANOS;;MASCULINO;EMPRESÁRIO;60002545124.jpg
Deputado Estadual;10010;60002545118;IGOR LEITÃO CHAVES CRUZ;IGOR LEITÃO;REPUBLICANOS;;MASCULINO;ADVOGADO;60002545118.jpg
Deputado Estadual;10011;60002545127;MARIA ELIMAR MENDONCA ARAGAO AZEVEDO SIDOU;ELIMAR ARAGAO;REPUBLICANOS;;FEMININO;REPRESENTANTE COMERCIAL;60002545127.jpg
Deputado Estadual;10015;60002545130;CÉLIA LIÉGIA EVANGELISTA DA COSTA;CÉLIA DA ENFERMAGEM;REPUBLICANOS;;FEMININO;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);60002545130.jpg
Deputado Estadual;10020;60002553891;RENATO DA SILVA ISIDIO;PASTOR RENATO;REPUBLICANOS;;MASCULINO;OUTROS;60002553891.jpg
Deputado Estadual;10070;60002545121;CELINA FERNANDES ALVES;CELINA FERNANDES;REPUBLICANOS;;FEMININO;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);60002545121.jpg
Deputado Estadual;10099;60002553888;GILBERTO FELIX DA SILVA;GIL BARATHA;REPUBLICANOS;;MASCULINO;COMERCIANTE;60002553888.jpg
Deputado Estadual;10100;60002545112;PEDRO NETO LOBO SOARES;PEDRO LOBO;REPUBLICANOS;;MASCULINO;GEÓGRAFO;60002545112.jpg
Deputado Estadual;10101;60002545120;ANTONIO DIEGO AVELINO BARBOSA;AVELINO DO POVO;REPUBLICANOS;;MASCULINO;EMPRESÁRIO;60002545120.jpg
Deputado Estadual;10110;60002545126;JOSÉ DENIS BRITO DA SILVA;DENIS BRITO;REPUBLICANOS;;MASCULINO;TAXISTA;60002545126.jpg
