Tribunal Regional Eleitoral do Ceará

Seções do município: Paraipaba

Dados sujeitos a alterações - atualizados em 04/10/2022 06:44:50

Zona;Cod.Mun;Município;Cod.Local;Local Votação;Endereço;Bairro;CEP;Seção Principal (com urna);Aptos Princ. Eleição Estadual;Aptos Princ. Eleição Federal;Seções Agregadas;Aptos Agr. Eleição Estadual;Aptos Agr. Eleição Federal;Tot. Aptos Eleição Estadual;Tot. Aptos Eleição Federal
109;15997;PARAIPABA;1015;POLO DE ATENDIMENTO - JOSE DE SOUSA PINTO;RUA MARIA CLARICE MOREIRA;BOA ESPERANÇA;62685000;105;286;286;;0;0;286;286
109;15997;PARAIPABA;1015;POLO DE ATENDIMENTO - JOSE DE SOUSA PINTO;RUA MARIA CLARICE MOREIRA;BOA ESPERANÇA;62685000;106;285;285;;0;0;285;285
109;15997;PARAIPABA;1031;EMEF BETEL;RUA DOMINGOS BARROSO SN;CENTRO;62685000;107;337;337;;0;0;337;337
109;15997;PARAIPABA;1031;EMEF BETEL;RUA DOMINGOS BARROSO SN;CENTRO;62685000;108;329;329;;0;0;329;329
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;112;278;278;;0;0;278;278
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;113;279;279;;0;0;279;279
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;114;279;279;;0;0;279;279
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;115;277;277;;0;0;277;277
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;116;276;276;;0;0;276;276
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;117;277;277;;0;0;277;277
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;118;279;279;;0;0;279;279
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;119;280;280;;0;0;280;280
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;120;278;278;;0;0;278;278
109;15997;PARAIPABA;1058;EEM ENGENHEIRO AGEU ROMERO;RUA EVARISTO GOMES 143;CENTRO;62685000;121;277;277;;0;0;277;277
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;122;250;250;;0;0;250;250
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;123;252;252;;0;0;252;252
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;124;248;248;;0;0;248;248
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;125;251;251;;0;0;251;251
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;126;248;248;;0;0;248;248
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;127;250;250;;0;0;250;250
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;128;249;249;;0;0;249;249
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;129;248;248;;0;0;248;248
109;15997;PARAIPABA;1066;EMEIF ALTINA LARANJEIRA;RUA ANTONIO TABOSA SN;CENTRO;62685000;130;250;250;;0;0;250;250
109;15997;PARAIPABA;1074;EMEF JOSÉ BARROSO DE OLIVEIRA;RUA JOÃO NARCISO DE OLIVEIRA, S/N;BOA VISTA-DISTRITO;62685000;131;341;341;;0;0;341;341
109;15997;PARAIPABA;1074;EMEF JOSÉ BARROSO DE OLIVEIRA;RUA JOÃO NARCISO DE OLIVEIRA, S/N;BOA VISTA-DISTRITO;62685000;132;346;346;;0;0;346;346
109;15997;PARAIPABA;1074;EMEF JOSÉ BARROSO DE OLIVEIRA;RUA JOÃO NARCISO DE OLIVEIRA, S/N;BOA VISTA-DISTRITO;62685000;133;344;344;;0;0;344;344
109;15997;PARAIPABA;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;134;341;341;;0;0;341;341
109;15997;PARAIPABA;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;135;340;340;;0;0;340;340
109;15997;PARAIPABA;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;136;344;344;;0;0;344;344
109;15997;PARAIPABA;1082;EMEF FRANCISCO BATISTA DE AZEVEDO;RUA SÃO SEBASTIÃO, S/N;CAMBOAS;62685000;137;341;341;;0;0;341;341
